TenPct_AGthighX	TenPct_AGthighY	TenPct_AGthighZ	TwentyFivePct_AGthighX	TwentyFivePct_AGthighY	TwentyFivePct_AGthighZ	FiftyPct_AGthighX	FiftyPct_AGthighY	FiftyPct_AGthighZ	SeventyFivePct_AGthighX	SeventyFivePct_AGthighY	SeventyFivePct_AGthighZ	NinetyPct_AGthighX	NinetyPct_AGthighY	NinetyPct_AGthighZ
0.41	0.773	0.145	0.438	0.8009999999999999	0.184	0.469	0.8320000000000001	0.211	0.504	0.867	0.234	0.539	0.898	0.262
0.395	0.785	0.199	0.422	0.809	0.219	0.453	0.8320000000000001	0.246	0.473	0.8590000000000001	0.277	0.496	0.887	0.301
0.363	0.777	0.191	0.398	0.805	0.223	0.441	0.84	0.25	0.473	0.871	0.281	0.504	0.906	0.309
0.359	0.7809999999999999	0.195	0.391	0.816	0.23	0.422	0.8440000000000001	0.258	0.465	0.875	0.285	0.5	0.906	0.316
0.266	0.8009999999999999	0.184	0.355	0.8240000000000001	0.199	0.434	0.848	0.227	0.473	0.898	0.242	0.508	0.949	0.262
0.359	0.7929999999999999	0.117	0.398	0.8320000000000001	0.18	0.445	0.848	0.207	0.477	0.883	0.227	0.535	0.906	0.246
0.371	0.7340000000000001	0.207	0.41700000000000004	0.77	0.23	0.465	0.805	0.281	0.516	0.836	0.34	0.5589999999999999	0.875	0.441
0.348	0.73	0.18	0.461	0.813	0.199	0.477	0.828	0.211	0.4920000000000001	0.84	0.227	0.613	0.91	0.258
0.324	0.738	0.129	0.41	0.77	0.168	0.516	0.8009999999999999	0.219	0.57	0.8440000000000001	0.301	0.605	0.883	0.371
0.238	0.738	0.172	0.336	0.773	0.211	0.457	0.816	0.273	0.512	0.922	0.316	0.555	0.984	0.35230000000000045
0.344	0.75	0.152	0.383	0.789	0.199	0.434	0.84	0.238	0.52	0.887	0.273	0.5660000000000001	0.93	0.301
0.32	0.82	0.203	0.41	0.8240000000000001	0.242	0.445	0.828	0.273	0.449	0.8590000000000001	0.285	0.457	0.918	0.289
0.336	0.75	0.1636	0.387	0.7929999999999999	0.223	0.449	0.8240000000000001	0.273	0.4920000000000001	0.879	0.297	0.5589999999999999	0.93	0.328
-0.4920000000000001	0.8009999999999999	0.078	-0.348	0.852	0.117	0.043	0.953	0.168	0.117	0.988	0.363	0.215	1.004	0.383
-0.477	0.852	0.078	-0.453	0.871	0.125	-0.09	0.953	0.223	0.08199999999999999	0.996	0.258	0.16	1.02	0.285
-0.535	0.836	-0.262	-0.359	0.914	-0.168	-0.27	0.969	-0.059	-0.17600000000000002	1.0	0.07	-0.09	1.047	0.168
-0.473	0.852	-0.289	-0.398	0.914	-0.211	-0.348	0.957	-0.145	-0.293	0.98	-0.063	-0.246	1.016	0.004
-0.406	0.871	-0.328	-0.3670000000000001	0.934	-0.25	-0.328	0.957	-0.195	-0.293	0.969	-0.121	-0.254	1.0164000000000006	-0.016
-0.422	0.8516	-0.281	-0.3670000000000001	0.922	-0.207	-0.328	0.965	-0.121	-0.285	0.992	-0.055	-0.234	1.035	0.02
-0.391	0.8006	-0.387	-0.35275	0.895	-0.34	-0.309	0.945	-0.258	-0.27	0.984	-0.191	-0.199	1.047	-0.105
-0.3714	0.758	-0.461	-0.324	0.863	-0.402	-0.281	0.949	-0.301	-0.223	1.008	-0.184	-0.18	1.074400000000001	-0.117
-0.336	0.8046000000000001	-0.41	-0.305	0.895	-0.3670000000000001	-0.266	0.957	-0.266	-0.211	1.012	-0.159	-0.16399999999999998	1.07	-0.09
-0.332	0.8476	-0.391	-0.289	0.926	-0.324	-0.25	0.957	-0.289	-0.211	0.992	-0.18	-0.172	1.055	-0.078
-0.363	0.8626	-0.371	-0.328	0.925	-0.313	-0.285	0.957	-0.25	-0.238	0.985	-0.152	-0.191	1.035	-0.055
-0.344	0.906	-0.35200000000000004	-0.313	0.934	-0.32	-0.293	0.945	-0.301	-0.27	0.957	-0.258	-0.242	0.98	-0.211
-0.418	0.84	-0.402	-0.359	0.906	-0.332	-0.309	0.945	-0.273	-0.277	0.965	-0.207	-0.246	1.004	-0.113
-0.539	0.8276	-0.262	-0.449	0.895	-0.207	-0.32	0.941	-0.141	0.121	0.97775	-0.031	0.309	1.008	0.043
0.17560000000000006	0.922	0.012	0.297	0.93	0.023	0.328	0.934	0.047	0.34	0.949	0.09	0.35200000000000004	0.984	0.105
