Participant,Pearson_Correlation,Spearman_Correlation,Sensitivity,Sensitivity CI,Specificity,Specificity CI
HOA10,-0.13947469933510098,-0.08772942035883582,"[0.65927, 0.17803, 0.0]","[(0.65527, 0.66328), (0.16605, 0.19002), (0.0, 0.0)]","[0.17744, 0.65943, 0.99998]","[(0.16552, 0.18936), (0.65542, 0.66343), (0.99995, 1.00002)]"
OA37,-0.1147304957775126,-0.147153392357162,"[0.40571, 0.3467, 0.0]","[(0.40072, 0.41069), (0.33174, 0.36165), (0.0, 0.0)]","[0.34628, 0.40618, 0.9999]","[(0.33142, 0.36114), (0.40119, 0.41116), (0.99981, 1.0)]"
OA38,-0.11073775113146272,-0.1156711205675028,"[0.30548, 0.30316]","[(0.30205, 0.3089), (0.27873, 0.3276)]","[0.30316, 0.30548]","[(0.27873, 0.3276), (0.30205, 0.3089)]"
OA70,0.05891008840194094,0.0702755003356843,"[0.56597, 0.64706, 0.0]","[(0.55331, 0.57863), (0.57133, 0.72278), (0.0, 0.0)]","[0.65385, 0.56568, 1.0]","[(0.57919, 0.7285), (0.55303, 0.57834), (1.0, 1.0)]"
HOA36,-0.037446073333832416,-0.0793784086249964,"[0.38775, 0.39289, 0.0]","[(0.38418, 0.39133), (0.37375, 0.41202), (0.0, 0.0)]","[0.40153, 0.38777, 1.0]","[(0.38273, 0.42034), (0.3842, 0.39134), (1.0, 1.0)]"
KOA26,0.09123307237620513,-0.10789909804635275,"[0.73151, 0.12047, 0.04193]","[(0.72773, 0.73529), (0.11413, 0.12682), (0.02394, 0.05992)]","[0.13904, 0.73452, 0.99577]","[(0.13245, 0.14563), (0.73077, 0.73827), (0.99526, 0.99628)]"
KOA12,-0.05356100361321434,0.02504214495896306,"[0.94556, 0.06832, 0.0]","[(0.9438, 0.94732), (0.06391, 0.07272), (0.0, 0.0)]","[0.06968, 0.94521, 1.0]","[(0.06529, 0.07407), (0.94345, 0.94697), (1.0, 1.0)]"
HOA2,-0.058243819545149664,-0.09620564022849983,"[0.56761, 0.19889, 0.0]","[(0.56405, 0.57116), (0.18553, 0.21225), (0.0, 0.0)]","[0.20411, 0.56774, 1.0]","[(0.19086, 0.21737), (0.56419, 0.5713), (1.0, 1.0)]"
OA3,-0.09748591879327467,-0.16255874004288232,"[0.58737, 0.21308, 0.0]","[(0.5835, 0.59125), (0.20622, 0.21993), (0.0, 0.0)]","[0.21629, 0.5934, 1.0]","[(0.20989, 0.22269), (0.5896, 0.5972), (1.0, 1.0)]"
KOA42,-0.24049430348676437,-0.31925607573000464,"[0.31856, 0.2208, 0.0]","[(0.31521, 0.32191), (0.21296, 0.22863), (0.0, 0.0)]","[0.2245, 0.32189, 1.0]","[(0.21684, 0.23217), (0.31854, 0.32524), (1.0, 1.0)]"
KOA16,0.1419259454770196,-0.04217396548173662,"[0.61974, 0.18862, 0.01037]","[(0.61632, 0.62315), (0.18072, 0.19653), (0.0069, 0.01384)]","[0.30605, 0.60991, 0.99963]","[(0.29803, 0.31408), (0.60655, 0.61327), (0.99951, 0.99976)]"
KOA60,0.02798083464946135,-0.033074290996422596,"[0.41749, 0.52879, 0.0]","[(0.41389, 0.42109), (0.51789, 0.53969), (0.0, 0.0)]","[0.52912, 0.41775, 0.99999]","[(0.51848, 0.53976), (0.41416, 0.42134), (0.99996, 1.00001)]"
KOA14,-0.21536583253620717,-0.26742908872265087,"[0.43697, 0.13159, 0.0]","[(0.43274, 0.44119), (0.12324, 0.13993), (0.0, 0.0)]","[0.13107, 0.43775, 0.99981]","[(0.12278, 0.13936), (0.43353, 0.44197), (0.9997, 0.99992)]"
OA80,0.20847208256475225,0.2393646627738375,"[0.97432, 0.15057, 0.0]","[(0.97222, 0.97643), (0.12798, 0.17316), (0.0, 0.0)]","[0.21351, 0.96808, 1.0]","[(0.19186, 0.23515), (0.96576, 0.97039), (1.0, 1.0)]"
OA88,0.02159560342472547,-0.1258760642722077,"[0.48436, 0.30063, 0.02982]","[(0.47983, 0.48889), (0.29086, 0.31039), (0.0233, 0.03633)]","[0.34226, 0.49317, 0.99536]","[(0.33343, 0.3511), (0.48876, 0.49758), (0.9948, 0.99593)]"
KOA69,-0.06383619578459213,-0.09779153510320333,"[0.14897, 0.6, 0.0303]","[(0.14618, 0.15175), (0.57429, 0.62571), (-0.02818, 0.08879)]","[0.60994, 0.14897, 0.99992]","[(0.58465, 0.63524), (0.14618, 0.15175), (0.99985, 0.99999)]"
