Participant,Pearson_Correlation,Spearman_Correlation,Sensitivity,Sensitivity CI,Specificity,Specificity CI
HOA19,0.10004470310641525,0.1276645262777264,"[0.17708, 0.08616, 0.89506]","[(0.16944, 0.18472), (0.07033, 0.10199), (0.84787, 0.94226)]","[0.92257, 0.8394, 0.32021]","[(0.90841, 0.93673), (0.83211, 0.84669), (0.31141, 0.32901)]"
OA84,0.15969570826232146,0.001291322661506704,"[0.1838, 0.06667, 1.0]","[(0.1665, 0.2011), (-0.00622, 0.13955), (1.0, 1.0)]","[0.85185, 0.98605, 0.19888]","[(0.7571, 0.9466), (0.98082, 0.99127), (0.18126, 0.21651)]"
HOA26,0.12106153187309404,0.10733063273929427,"[0.33665, 0.05399, 1.0]","[(0.32776, 0.34555), (0.03253, 0.07545), (1.0, 1.0)]","[0.83372, 0.80323, 0.52162]","[(0.79841, 0.86904), (0.79574, 0.81071), (0.51239, 0.53084)]"
OA56,0.09861480099283258,0.08005831303813758,"[0.03562, 0.0177, 1.0]","[(0.02889, 0.04234), (0.00051, 0.03489), (1.0, 1.0)]","[0.97934, 0.8951, 0.13382]","[(0.96142, 0.99726), (0.88401, 0.90618), (0.12192, 0.14572)]"
HOA15,0.1360350310277566,0.012886397686955046,"[0.03975, 0.03468, 0.3]","[(0.0362, 0.0433), (0.02249, 0.04688), (0.01597, 0.58403)]","[0.95886, 0.94724, 0.09087]","[(0.9457, 0.97202), (0.94318, 0.9513), (0.08584, 0.09591)]"
HOA39,0.056262396420025194,0.018419956654082317,"[0.11757, 0.05587, nan]","[(0.11154, 0.1236), (0.02222, 0.08951), (nan, nan)]","[0.9162, 0.91903, 0.19759]","[(0.87561, 0.95679), (0.91392, 0.92414), (0.1902, 0.20499)]"
HOA40,0.11991703361184684,0.010544532708012252,"[0.04662, 0.01075, 1.0]","[(0.04294, 0.0503), (-0.00407, 0.02557), (1.0, 1.0)]","[0.95745, 0.96921, 0.07707]","[(0.92859, 0.9863), (0.9662, 0.97223), (0.07245, 0.08168)]"
KOA17,-0.020117188949905728,0.06690861531099564,"[0.25942, 0.09806, 0.63636]","[(0.25044, 0.2684), (0.08033, 0.11579), (0.54647, 0.72626)]","[0.85894, 0.91376, 0.33294]","[(0.83917, 0.87871), (0.90805, 0.91948), (0.32381, 0.34207)]"
OA1,0.11562049168328066,0.11655473257092132,"[0.11525, 0.0854, 0.88837]","[(0.10889, 0.12161), (0.07397, 0.09684), (0.86721, 0.90953)]","[0.98156, 0.90982, 0.18576]","[(0.97686, 0.98626), (0.90435, 0.91529), (0.17879, 0.19272)]"
OA36,0.18538405559640625,0.12263855198863373,"[0.16271, 0.12381, 0.75]","[(0.15162, 0.1738), (0.08744, 0.16018), (0.32565, 1.17435)]","[0.97179, 0.78999, 0.35749]","[(0.95362, 0.98996), (0.77776, 0.80223), (0.34359, 0.37139)]"
KOA54,0.19777053472583972,0.09128143826170383,"[0.17853, 0.0516, 0.91837]","[(0.17155, 0.1855), (0.03767, 0.06553), (0.8417, 0.99503)]","[0.89293, 0.85663, 0.30995]","[(0.87393, 0.91192), (0.85026, 0.863), (0.30186, 0.31805)]"
OA58,0.14167361510130083,0.16087895416711143,"[0.18019, 0.03817, 0.86667]","[(0.16115, 0.19923), (0.02349, 0.05284), (0.74502, 0.98831)]","[0.93431, 0.93605, 0.2027]","[(0.91575, 0.95286), (0.92404, 0.94806), (0.18598, 0.21943)]"
KOA27,-0.018191968772783042,-0.05218472244465658,"[0.05521, 0.27491, 0.72941]","[(0.05114, 0.05929), (0.25165, 0.29817), (0.68219, 0.77664)]","[0.93618, 0.79745, 0.26616]","[(0.92475, 0.94762), (0.79038, 0.80453), (0.2587, 0.27362)]"
OA39,0.29678282241095727,0.1839571990989659,"[0.16656, 0.06321, 0.95109]","[(0.15718, 0.17593), (0.04963, 0.07679), (0.91992, 0.98225)]","[0.94922, 0.84891, 0.28706]","[(0.9378, 0.96065), (0.84003, 0.85779), (0.27669, 0.29744)]"
KOA47,0.1251266978387433,0.06924606871323906,"[0.00803, 0.00653, 0.98667]","[(0.00617, 0.00989), (0.00268, 0.01037), (0.96831, 1.00502)]","[0.99782, 0.96362, 0.03905]","[(0.99569, 0.99995), (0.95975, 0.96749), (0.03535, 0.04275)]"
HOA32,0.002782052173306758,0.04843644640711766,"[0.18115, 0.18538, 0.64742]","[(0.17352, 0.18878), (0.16291, 0.20785), (0.59579, 0.69904)]","[0.88295, 0.79814, 0.37352]","[(0.86656, 0.89934), (0.79032, 0.80596), (0.36446, 0.38259)]"
